visit_id,agreement_id,vehicle_dealership_name,customer_id,vehicle_agency_brand_name,branch_division_name,branch_division_id,visit_start_date,visit_end_date,audit_sfctry_score_epse_type,agency_score_give_person_name,block_agncy_cr_line_mark_type,agency_rating_date,audit_score_hms_date,audit_bncl_financed_veh_number,audit_bncl_financed_veh_amount,operation_currency_type,audit_agncy_verif_veh_number,audit_agncy_verif_veh_amount,audit_non_verified_veh_number,audit_non_verified_veh_amount,audit_agncy_found_veh_number,audit_imperfect_veh_number,pend_delivery_paid_veh_number,non_paid_dspsl_sold_veh_number,brand_same_exchange_veh_number,liquidated_vehicles_number,agency_arrive_pend_veh_number,audit_missing_vehicles_number,agency_rej_audit_visit_number,agency_transferred_veh_number,stln_reported_veh_tot_number,agncy_penalty_vehicle_number,audit_non_verified_veh_per,level1_service_group_type,purchase_amount,settlement_days_number,audit_rgtry_new_veh_number,audit_rgtry_prwd_veh_number
51966,HYFR2,HYUNDAI FARRERA VEACRUZ,B1498021,HYUNDAI,Sureste,1809.0,04/01/2021,05/01/2021,Satisfactoria,Johann Gaal,FALSE,05/01/2021,06:15 p. m.,59,15030149.01,MXP,58,14784012.41,1,246136.6,31,0,26,0,0,1,0,0,0,1,0,0,1,15:38,,12.0,59,0
51967,10136,HONDA  ACUEDUCTO,19154943,HONDA,Metro Corporativa,1853.0,04/01/2021,04/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,04/01/2021,11:12 a. m.,9,4692706.53,MXP,9,4692706.53,0,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,9,0
51968,HYOA1,JEJU  AUTOMOTRI,B2341823,HYUNDAI,Sur,715.0,05/01/2021,05/01/2021,Satisfactoria,Johann Gaal,FALSE,05/01/2021,06:16 p. m.,20,5084352.42,MXP,19,4760485.55,1,323866.87,13,0,4,0,0,2,0,0,0,1,0,0,5,9:46,,5.0,20,0
51969,TKCH2,KENWORTH DE CHIHUAHUA 2,19817409,KENWORTH,Noreste,815.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,04:10 p. m.,2,203206.48,MXP,2,203206.48,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,5.0,2,0
51970,LIZE5,VW PATRIA SEMINUEVOS,71631852,No Asiganda,Occidente,723.0,04/01/2021,04/01/2021,Deficiente con Bloqueo,Edgar Aguilar,TRUE,07/01/2021,03:16 p. m.,11,1712080.0,MXP,11,1712080.0,0,0.0,10,0,0,1,0,0,0,0,0,0,0,0,0,38:11,3.0,5.0,0,11
51971,PCC03,CHEVROLET SEMIS,17116219,GENERAL MOTORS,Noroeste,1794.0,04/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,10:30 a. m.,11,1935040.0,MXP,11,1935040.0,0,0.0,8,0,0,0,0,3,0,0,0,0,0,0,0,8:30,7.0,5.0,0,11
51972,PISE1,AUTOS PITIC         ,80942374,SUZUKI,Occidente,723.0,05/01/2021,05/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,05/01/2021,05:40 p. m.,2,254560.0,MXP,2,254560.0,0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,9:10,,12.0,0,2
51973,SAU39,SURMAN AUTOS        ,B4774938,BMW,Metro Corporativa,1853.0,04/01/2021,04/01/2021,Satisfactoria,Johann Gaal,FALSE,05/01/2021,06:13 p. m.,9,5125555.47,MXP,9,5125555.47,0,0.0,8,0,0,0,0,1,0,0,0,0,0,0,0,20:20,,6.0,9,0
51974,SOGD3,SOLANA GUADALAJARA,54920420,GENERAL MOTORS,Occidente,723.0,04/01/2021,04/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,04/01/2021,10:17 a. m.,1,1032979.01,MXP,1,1032979.01,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,8:30,,12.0,1,0
51975,SOCA3,CADILLAC GDL,54920420,GENERAL MOTORS,Occidente,723.0,04/01/2021,04/01/2021,Satisfactoria,Fabiola Alvarez CA,FALSE,04/01/2021,11:40 a. m.,2,2298066.32,MXP,2,2298066.32,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,8:30,,12.0,2,0
51976,SOLM3,SOLANA MOTORS,38300503,GENERAL MOTORS,Occidente,723.0,04/01/2021,04/01/2021,Satisfactoria,Edgar Aguilar,FALSE,04/01/2021,05:29 p. m.,2,2506878.66,MXP,2,2506878.66,0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,15:24,,12.0,2,0
