Line,Field,Expected,Found,Comments
2,branch_division_id,varchar,1809.0,Max length is 4
2,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
3,branch_division_id,varchar,1853.0,Max length is 4
3,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
4,branch_division_id,varchar,715.0,Max length is 4
4,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
5,branch_division_id,varchar,815.0,Max length is 4
5,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
6,branch_division_id,varchar,723.0,Max length is 4
6,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
7,branch_division_id,varchar,1794.0,Max length is 4
7,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
8,branch_division_id,varchar,723.0,Max length is 4
8,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
9,branch_division_id,varchar,1853.0,Max length is 4
9,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
10,branch_division_id,varchar,723.0,Max length is 4
10,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
11,branch_division_id,varchar,723.0,Max length is 4
11,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
12,branch_division_id,varchar,723.0,Max length is 4
12,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
13,branch_division_id,varchar,1826.0,Max length is 4
13,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
14,branch_division_id,varchar,830.0,Max length is 4
14,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
15,branch_division_id,varchar,830.0,Max length is 4
15,resdl_mt_ctrct_d_number,number,5.0,Valid thousands separator is '.' or none
16,branch_division_id,varchar,1794.0,Max length is 4
16,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
17,branch_division_id,varchar,1853.0,Max length is 4
17,resdl_mt_ctrct_d_number,number,6.0,Valid thousands separator is '.' or none
18,branch_division_id,varchar,841.0,Max length is 4
18,resdl_mt_ctrct_d_number,number,12.0,Valid thousands separator is '.' or none
19,branch_division_id,varchar,723.0,Max length is 4
