mtge_info_orig_source_name,mgcr_request_register_date,entity_name,state_name,branch_division_name,mortgage_destination_name,month_mortgage_cr_total_amount,mtge_cr_inst_gen_ctrct_number,mejoravit_mtge_prdt_mark_type,mtge_credit_comm_network_type,month_mgcr_goal_total_amount,mth_mgcr_oper_goal_tot_number,particular_mgcr_total_amount,prtic_mgcr_oper_tot_number,mtge_cr_weighted_rate_amount,contract_manager_branch_name,mortgage_line_type,mtge_cr_capacity_range_type,mortgage_total_balance_amount,town_name
Aforo,12/01/2021,Afirme,Aguascalientes,Bajio,2. Adquisicion de vivienda,,1,0,,,,,,,,,Entre 25 y 50 %,,
Aforo,12/01/2021,Afirme,Aguascalientes,Bajio,2. Adquisicion de vivienda,,1,0,,,,,,,,,Mas de 50 y hasta 60%,,
Aforo,12/01/2021,Afirme,Aguascalientes,Bajio,2. Adquisicion de vivienda,,1,0,,,,,,,,,Mas de 80 y hasta 90%,,
Aforo,12/01/2021,Afirme,Aguascalientes,Bajio,8. Creditos Hipotecarios (incluye destinos del credito 0+1+2+3+7),,1,0,,,,,,,,,Entre 25 y 50 %,,
Aforo,12/01/2021,Afirme,Aguascalientes,Bajio,8. Creditos Hipotecarios (incluye destinos del credito 0+1+2+3+7),,1,0,,,,,,,,,Mas de 50 y hasta 60%,,
Aforo,12/01/2021,Afirme,Aguascalientes,Bajio,8. Creditos Hipotecarios (incluye destinos del credito 0+1+2+3+7),,1,0,,,,,,,,,Mas de 80 y hasta 90%,,
Aforo,12/01/2021,Afirme,Baja California,Noroeste,2. Adquisicion de vivienda,,1,0,,,,,,,,,Mas de 60 y hasta 70%,,
Aforo,12/01/2021,Afirme,Baja California,Noroeste,2. Adquisicion de vivienda,,2,0,,,,,,,,,Mas de 70 y hasta 80%,,
Aforo,12/01/2021,Afirme,Baja California,Noroeste,2. Adquisicion de vivienda,,1,0,,,,,,,,,Mas de 80 y hasta 90%,,
Aforo,12/01/2021,Afirme,Baja California,Noroeste,8. Creditos Hipotecarios (incluye destinos del credito 0+1+2+3+7),,1,0,,,,,,,,,Mas de 60 y hasta 70%,,
Aforo,12/01/2021,Afirme,Baja California,Noroeste,8. Creditos Hipotecarios (incluye destinos del credito 0+1+2+3+7),,2,0,,,,,,,,,Mas de 70 y hasta 80%,,
Aforo,12/01/2021,Afirme,Baja California,Noroeste,8. Creditos Hipotecarios (incluye destinos del credito 0+1+2+3+7),,1,0,,,,,,,,,Mas de 80 y hasta 90%,,
Aforo,12/01/2021,Afirme,Coahuila,Noreste,2. Adquisicion de vivienda,,2,0,,,,,,,,,Mas de 80 y hasta 90%,,
Aforo,12/01/2021,Afirme,Coahuila,Noreste,4. Pago de Pasivos Hipotecarios,,1,0,,,,,,,,,Mas de 60 y hasta 70%,,
