questions,options,anwsers
A scrum master notices that the team members are not open to showcasing their work. Which core value would the scrum master encourage the team to adopt,"

Program execution
Transparency
Built-in quality
Alignment ",Transparency.
"A scrum master notices the team is often unable to support maintenance that arise on an ad hoc basis, even though it was agreed that team would provide this support. What could the scrum master do","

Trust the team will move past the storming team formation stage and become better ad hoc support 

Focus the team on production issues even if that means delaying the completion of their other commitments

Encourage the team to defer the ad hoc issues to the next iteration

Suggest the team leave some capacity available when planning the iteration ",Suggest the team leave some capacity available when planning the iteration
A team regularly achieves 150% of its planned business value. How might the team adapt for the next PI,"

Collaborate with other teams to teach them how to achieve high business value

Determine ways to increase the ratio of committed PI Objectives to uncommitted objectives

Plan 20% more story points in the next PI to match capacity to demand

Adjust story sizing to reduce velocity ",Determine ways to increase the ratio of committed PI Objectives to uncommitted objectives
"According to Tuckman's staegs of team dynamics, an agile team that ""respects each other's opinions and values thier differences"" is in which team development stage","

Storming 
Norming
Forming 
Performing ",Performing
"At the end of the first Iteration, the team finishes User Stories A, B, and 50% of C. The Story sizes are set at these points:Story A = 8 pointsStory B = 1 pointStory C = 5 pointsStory D = 3 pointsWhat is the team's velocity","

9
7
14
11.5 ",9
Cadence and synchronisation help reduce uncertainty and manage what,"
Capacity allocation
Other commitments
The variability in solution development
Product management ",The variability in solution development
"During a retrospective, the team decides to delegate the responsibility of team to team communication to the scrum master. What are 2 significant risk this can introduce","

The scrum master may forget to communicate from time to time

The scrum master could misinterpret communications

The scrum master becomes a bottleneck and slows down the flow of information.

Team loses the opportunity to build relationship with the other team

The team loses the opportunity to build T-shaped skills ","The scrum master becomes a bottleneck and slows down the flow of information.

Team loses the opportunity to build relationship with the other team"
"During Iteration planning, who defines the acceptance criteria for each story","

The product Manager

The scrum master 

The product owner

The Agile team ",The product owner
"During the problem solving workshop, which step comes after identifying the biggest root-cause using Pareto analysis","

Conduct the 5 whys

Restate the new problem

Brainstorm solutions

Create improvement backlog items ",Restate the new problem
How can Scrum master prepare for an Iteration Retrospective,"


Define improvement stories for the team

Collect updated Iteration metrics

Identify the list of problems to address

Determine which subject matter experts to invite ",Collect updated Iteration metrics
"Lean flow, as defined as part of the SAFe CALMR approach, is supported by which SAFe principle","

Build incrementally with fast, integrated learning cycles

Visualize and limit WIP, reduce batch sizes and mange queue length

Apply system thinking

Organize around value ","Visualize and limit WIP, reduce batch sizes and mange queue length"
"Scrum Master help remove impediments, foster an environment for high-performing team dynamics and what else","

Lead team efforts in relentless improvement

Form and re-form teams

Continuously deliver value

Estimate stories ",Lead team efforts in relentless improvement
The scrum master is what above all else,"
An event facilitator
The iteration owner
A team coach
A servant leader ",A servant leader
The scrum master notices the Agile team does not have cross-functional skills. What could the scrum master do to improve this situation,"

Facilitate a personal development discussion with the team's manager

Bring the issue to the team and ask for their suggestions

Mandate pair programming across the team

Create development plans for each of the team members ",Bring the issue to the team and ask for their suggestions
