questions,options,anwsers
a scrum master notices that the team members are not open to showcasing their work. which core value would the scrum master encourage the team to adopt,"

Program execution
Transparency
Built-in quality
Alignment ",Transparency.
"a scrum master notices the team is often unable to support maintenance that arise on an ad hoc basis, even though it was agreed that team would provide this support. what could the scrum master do","

Trust the team will move past the storming team formation stage and become better ad hoc support 

Focus the team on production issues even if that means delaying the completion of their other commitments

Encourage the team to defer the ad hoc issues to the next iteration

Suggest the team leave some capacity available when planning the iteration ",Suggest the team leave some capacity available when planning the iteration
a team regularly achieves 150% of its planned business value. how might the team adapt for the next pi,"

Collaborate with other teams to teach them how to achieve high business value

Determine ways to increase the ratio of committed PI Objectives to uncommitted objectives

Plan 20% more story points in the next PI to match capacity to demand

Adjust story sizing to reduce velocity ",Determine ways to increase the ratio of committed PI Objectives to uncommitted objectives
"according to tuckman's staegs of team dynamics, an agile team that ""respects each other's opinions and values thier differences"" is in which team development stage","

Storming 
Norming
Forming 
Performing ",Performing
"at the end of the first iteration, the team finishes user stories a, b, and 50% of c. the story sizes are set at these points:story a = 8 pointsstory b = 1 pointstory c = 5 pointsstory d = 3 pointswhat is the team's velocity","

9
7
14
11.5 ",9
cadence and synchronisation help reduce uncertainty and manage what,"
Capacity allocation
Other commitments
The variability in solution development
Product management ",The variability in solution development
"during a retrospective, the team decides to delegate the responsibility of team to team communication to the scrum master. what are 2 significant risk this can introduce","

The scrum master may forget to communicate from time to time

The scrum master could misinterpret communications

The scrum master becomes a bottleneck and slows down the flow of information.

Team loses the opportunity to build relationship with the other team

The team loses the opportunity to build T-shaped skills ","The scrum master becomes a bottleneck and slows down the flow of information.

Team loses the opportunity to build relationship with the other team"
"during iteration planning, who defines the acceptance criteria for each story","

The product Manager

The scrum master 

The product owner

The Agile team ",The product owner
"during the problem solving workshop, which step comes after identifying the biggest root-cause using pareto analysis","

Conduct the 5 whys

Restate the new problem

Brainstorm solutions

Create improvement backlog items ",Restate the new problem
how can scrum master prepare for an iteration retrospective,"


Define improvement stories for the team

Collect updated Iteration metrics

Identify the list of problems to address

Determine which subject matter experts to invite ",Collect updated Iteration metrics
"lean flow, as defined as part of the safe calmr approach, is supported by which safe principle","

Build incrementally with fast, integrated learning cycles

Visualize and limit WIP, reduce batch sizes and mange queue length

Apply system thinking

Organize around value ","Visualize and limit WIP, reduce batch sizes and mange queue length"
"scrum master help remove impediments, foster an environment for high-performing team dynamics and what else","

Lead team efforts in relentless improvement

Form and re-form teams

Continuously deliver value

Estimate stories ",Lead team efforts in relentless improvement
the scrum master is what above all else,"
An event facilitator
The iteration owner
A team coach
A servant leader ",A servant leader
the scrum master notices the agile team does not have cross-functional skills. what could the scrum master do to improve this situation,"

Facilitate a personal development discussion with the team's manager

Bring the issue to the team and ask for their suggestions

Mandate pair programming across the team

Create development plans for each of the team members ",Bring the issue to the team and ask for their suggestions
